Ginuwine,Stingy,239
Ginuwine featuring Baby,Hell Yeah,218
Gnash featuring Olivia O'Brien,"I Hate U, I Love U",226
Godsmack,Serenity,225
Good Charlotte,Girls & Boys,181
Good Charlotte,Hold On,243
Good Charlotte,I Don't Want to Be in Love (Dance Floor Anthem),227
Good Charlotte,I Just Wanna Live,164
Gorillaz,Dare,211
Gorillaz,Clint Eastwood,222
Gorillaz featuring De La Soul,Feel Good Inc.,207
Gotye featuring Kimbra,Somebody That I Used to Know,243
Grace featuring G-Eazy,You Don't Own Me,198
Graffiti6,Free,227
Gretchen Wilson,Here for the Party,196
Gretchen Wilson,Redneck Woman,220
Greyson Chance,Waiting Outside the Lines,231
Gwen Stefani,What You Waiting For?,217
Gwen Stefani,Hollaback Girl,198
Gwen Stefani featuring Akon,The Sweet Escape,245
Gym Class Heroes featuring Adam Levine,Stereo Hearts,210
Gym Class Heroes featuring Neon Hitch,Get Yourself Back Home,220
Hailee Steinfeld and Grey featuring Zedd,Starving,179
Halestorm,Here's to Us,175
Hanson,This Time Around,255
Hanson,MMMBop,267
Harvey Danger,Flagpole Sitta,215
Havana Brown featuring Pitbull,We Run the Night,227
Hellogoodbye,Here (In Your Arms),217
Hey Violet,Guys My Age,210
Hilary Duff,All About You,159
Hinder,Lips of an Angel,259
Hoobastank,Running Away,178
Hoobastank,Disappear,237
Hoobastank,The Reason,230
Hot Chelle Rae,Tonight Tonight,198
Hot Chelle Rae,Tonight Tonight,198
"Houston featuring Chingy, Nate Dogg & I-20",I Like That,226
Howie Day,Collide,246
Huey,"Pop, Lock & Drop It",261
Hunter Hayes,Somebody's Heartbreak,226
Icona Pop featuring Charli XCX,I Love It,153
Ideal,Get Gone,271
Idina Menzel,Let It Go,219
Iggy Azalea featuring Charli XCX,Fancy,195
Iggy Azalea featuring MØ,Beg for It,176
Iggy Azalea featuring Rita Ora,Black Widow,208
Imagine Dragons,Radioactive,186
Imagine Dragons,Demons,174
Imagine Dragons,It's Time,237
Imajin,Shorty (You Keep Playin' with My Mind),294
Incubus,Wish You Were Here,212
Incubus,Drive,232
Iyaz,Replay,180
Iyaz,Solo,200
J-Kwon,You & Me,263
J. Cole,Work Out,232
J. Holiday,Suffocate,214
J. Holiday,Bed,228
Ja Rule featuring Ashanti,Always on Time,208
Ja Rule featuring Case,Livin' It Up,258
Jack and Eliza,Hold the Line,176
Jacob Latimore,This or That,198
